postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3223,7401,0,5,0,0,0,30/09/2020,01/10/2020
3224,14187,0,13,0,0,0,30/09/2020,01/10/2020
3225,4058,0,3,0,0,0,30/09/2020,01/10/2020
3226,14161,0,15,0,0,0,30/09/2020,01/10/2020
3227,4821,0,1,0,0,0,30/09/2020,01/10/2020
3228,17939,0,7,0,0,0,30/09/2020,01/10/2020
3230,2548,0,3,0,0,0,30/09/2020,01/10/2020
3231,1257,0,2,0,0,0,30/09/2020,01/10/2020
3232,1111,0,1,0,0,0,30/09/2020,01/10/2020
3233,2029,0,0,0,0,0,30/09/2020,01/10/2020
3234,179,0,0,0,0,0,30/09/2020,01/10/2020
3235,380,0,0,0,0,0,30/09/2020,01/10/2020
3236,230,0,0,0,0,0,30/09/2020,01/10/2020
3237,218,0,0,0,0,0,30/09/2020,01/10/2020
3238,219,0,0,0,0,0,30/09/2020,01/10/2020
3239,423,0,0,0,0,0,30/09/2020,01/10/2020
3240,2026,0,1,0,0,0,30/09/2020,01/10/2020
3241,2565,0,0,0,0,0,30/09/2020,01/10/2020
3242,828,0,0,0,0,0,30/09/2020,01/10/2020
3243,357,0,0,0,0,0,30/09/2020,01/10/2020
3249,3204,0,6,0,0,0,30/09/2020,01/10/2020
3250,12250,1,121,8.2,0,1,30/09/2020,01/10/2020
3251,522,0,7,0,0,0,30/09/2020,01/10/2020
3254,307,0,2,0,0,0,30/09/2020,01/10/2020
3260,4768,0,1,0,0,0,30/09/2020,01/10/2020
3264,2289,0,0,0,0,0,30/09/2020,01/10/2020
3265,2614,0,1,0,0,0,30/09/2020,01/10/2020
3266,3071,0,1,0,0,0,30/09/2020,01/10/2020
3267,245,0,0,0,0,0,30/09/2020,01/10/2020
3268,2601,0,0,0,0,0,30/09/2020,01/10/2020
3269,729,0,0,0,0,0,30/09/2020,01/10/2020
3270,251,0,0,0,0,0,30/09/2020,01/10/2020
3271,193,0,0,0,0,0,30/09/2020,01/10/2020
3272,1533,0,1,0,0,0,30/09/2020,01/10/2020
3273,146,0,0,0,0,0,30/09/2020,01/10/2020
3274,242,0,0,0,0,0,30/09/2020,01/10/2020
3275,426,0,0,0,0,0,30/09/2020,01/10/2020
3276,479,0,0,0,0,0,30/09/2020,01/10/2020
3277,1922,0,0,0,0,0,30/09/2020,01/10/2020
3278,315,0,0,0,0,0,30/09/2020,01/10/2020
3279,291,0,0,0,0,0,30/09/2020,01/10/2020
3280,31568,0,13,0,0,0,30/09/2020,01/10/2020
3281,1702,0,1,0,0,0,30/09/2020,01/10/2020
3282,2363,0,0,0,0,0,30/09/2020,01/10/2020
3283,1361,0,0,0,0,0,30/09/2020,01/10/2020
3284,3437,0,0,0,0,0,30/09/2020,01/10/2020
3285,1210,0,1,0,0,0,30/09/2020,01/10/2020
3286,564,0,0,0,0,0,30/09/2020,01/10/2020
3287,436,0,0,0,0,0,30/09/2020,01/10/2020
3289,757,0,0,0,0,0,30/09/2020,01/10/2020
3292,187,0,0,0,0,0,30/09/2020,01/10/2020
3293,302,0,1,0,0,0,30/09/2020,01/10/2020
3294,954,0,0,0,0,0,30/09/2020,01/10/2020
3300,10087,0,1,0,0,0,30/09/2020,01/10/2020
3301,1212,0,0,0,0,0,30/09/2020,01/10/2020
3302,371,0,0,0,0,0,30/09/2020,01/10/2020
3303,338,0,0,0,0,0,30/09/2020,01/10/2020
3304,2725,0,1,0,0,0,30/09/2020,01/10/2020
3305,12815,0,18,0,0,0,30/09/2020,01/10/2020
3309,126,0,0,0,0,0,30/09/2020,01/10/2020
3310,272,0,0,0,0,0,30/09/2020,01/10/2020
3311,1696,0,0,0,0,0,30/09/2020,01/10/2020
3312,1033,0,0,0,0,0,30/09/2020,01/10/2020
3314,525,0,0,0,0,0,30/09/2020,01/10/2020
3315,1629,0,0,0,0,0,30/09/2020,01/10/2020
3317,197,0,0,0,0,0,30/09/2020,01/10/2020
3318,1265,0,0,0,0,0,30/09/2020,01/10/2020
3319,345,0,0,0,0,0,30/09/2020,01/10/2020
3321,1519,0,4,0,0,0,30/09/2020,01/10/2020
3322,176,0,0,0,0,0,30/09/2020,01/10/2020
3323,88,0,0,0,0,0,30/09/2020,01/10/2020
3324,531,0,0,0,0,0,30/09/2020,01/10/2020
3325,480,0,0,0,0,0,30/09/2020,01/10/2020
3328,1720,0,2,0,0,0,30/09/2020,01/10/2020
3329,284,0,0,0,0,0,30/09/2020,01/10/2020
3330,222,0,0,0,0,0,30/09/2020,01/10/2020
3331,5996,0,2,0,0,0,30/09/2020,01/10/2020
3332,1013,0,4,0,0,0,30/09/2020,01/10/2020
3333,827,0,1,0,0,0,30/09/2020,01/10/2020
3334,566,0,0,0,0,0,30/09/2020,01/10/2020
3335,5859,0,32,0,0,0,30/09/2020,01/10/2020
3336,0,1,125,0,0,0,30/09/2020,01/10/2020
3337,36455,4,257,11,0,1,30/09/2020,01/10/2020
3338,23419,4,280,17.1,0,1,30/09/2020,01/10/2020
3340,21123,0,33,0,0,0,30/09/2020,01/10/2020
3341,1666,0,1,0,0,0,30/09/2020,01/10/2020
3342,3440,0,2,0,0,0,30/09/2020,01/10/2020
3345,1151,0,0,0,0,0,30/09/2020,01/10/2020
3350,59147,0,39,0,0,0,30/09/2020,01/10/2020
3351,8169,0,2,0,0,0,30/09/2020,01/10/2020
3352,16000,0,6,0,0,0,30/09/2020,01/10/2020
3355,13016,0,7,0,0,0,30/09/2020,01/10/2020
3356,16322,0,7,0,0,0,30/09/2020,01/10/2020
3357,3714,0,1,0,0,0,30/09/2020,01/10/2020
3360,765,0,0,0,0,0,30/09/2020,01/10/2020
3361,680,0,0,0,0,0,30/09/2020,01/10/2020
3363,3476,0,0,0,0,0,30/09/2020,01/10/2020
3364,2149,0,1,0,0,0,30/09/2020,01/10/2020
3370,1782,0,0,0,0,0,30/09/2020,01/10/2020
3371,990,0,0,0,0,0,30/09/2020,01/10/2020
3373,2291,0,0,0,0,0,30/09/2020,01/10/2020
3374,399,0,0,0,0,0,30/09/2020,01/10/2020
3375,206,0,0,0,0,0,30/09/2020,01/10/2020
3377,9414,0,6,0,0,0,30/09/2020,01/10/2020
3378,149,0,0,0,0,0,30/09/2020,01/10/2020
3379,801,0,1,0,0,0,30/09/2020,01/10/2020
3380,6033,0,1,0,0,0,30/09/2020,01/10/2020
3381,1211,0,0,0,0,0,30/09/2020,01/10/2020
3384,547,0,0,0,0,0,30/09/2020,01/10/2020
3385,517,0,0,0,0,0,30/09/2020,01/10/2020
3387,315,0,0,0,0,0,30/09/2020,01/10/2020
3388,562,0,1,0,0,0,30/09/2020,01/10/2020
3390,914,0,0,0,0,0,30/09/2020,01/10/2020
3391,172,0,0,0,0,0,30/09/2020,01/10/2020
3392,581,0,0,0,0,0,30/09/2020,01/10/2020
3393,2684,0,0,0,0,0,30/09/2020,01/10/2020
3395,361,0,0,0,0,0,30/09/2020,01/10/2020
3396,738,0,0,0,0,0,30/09/2020,01/10/2020
3400,14541,0,2,0,0,0,30/09/2020,01/10/2020
3401,4418,0,11,0,0,0,30/09/2020,01/10/2020
3407,422,0,0,0,0,0,30/09/2020,01/10/2020
3409,937,0,1,0,0,0,30/09/2020,01/10/2020
3412,299,0,0,0,0,0,30/09/2020,01/10/2020
3413,220,0,0,0,0,0,30/09/2020,01/10/2020
3414,1824,0,0,0,0,0,30/09/2020,01/10/2020
3415,40,0,0,0,0,0,30/09/2020,01/10/2020
3418,2771,0,0,0,0,0,30/09/2020,01/10/2020
3419,806,0,0,0,0,0,30/09/2020,01/10/2020
3420,277,0,1,0,0,0,30/09/2020,01/10/2020
3423,480,0,0,0,0,0,30/09/2020,01/10/2020
