,Year,Year ending,Police Region,Suburb,Incidents Recorded,"Rate per 100,000 population"
60,2020,March,4 Western, Glenelg,"1,171 ","5,964.8 "
61,2020,March,4 Western, Golden Plains,472 ,"1,947.3 "
62,2020,March,4 Western, Greater Bendigo,"8,337 ","6,948.1 "
63,2020,March,4 Western, Greater Geelong,"17,045 ","6,437.8 "
64,2020,March,4 Western, Hepburn,739 ,"4,599.8 "
65,2020,March,4 Western, Hindmarsh,248 ,"4,483.7 "
66,2020,March,4 Western, Horsham,"1,360 ","6,823.7 "
67,2020,March,4 Western, Loddon,367 ,"4,899.6 "
68,2020,March,4 Western, Macedon Ranges,"1,725 ","3,379.8 "
69,2020,March,4 Western, Mildura,"5,581 ","9,964.7 "
70,2020,March,4 Western, Moorabool,"1,644 ","4,569.7 "
71,2020,March,4 Western, Mount Alexander,894 ,"4,488.6 "
72,2020,March,4 Western, Moyne,509 ,"2,986.3 "
73,2020,March,4 Western, Northern Grampians,735 ,"6,488.5 "
74,2020,March,4 Western, Pyrenees,350 ,"4,679.6 "
75,2020,March,4 Western, Queenscliffe,101 ,"3,419.9 "
76,2020,March,4 Western, Southern Grampians,890 ,"5,534.6 "
77,2020,March,4 Western, Surf Coast,"1,046 ","3,051.0 "
78,2020,March,4 Western, Swan Hill,"1,775 ","8,622.7 "
79,2020,March,4 Western, Warrnambool,"2,477 ","7,000.3 "
80,2020,March,4 Western, West Wimmera,141 ,"3,710.1 "
81,2020,March,4 Western, Yarriambiack,324 ,"4,917.5 "
82,2020,March,4 Western,Total,"63,926 ","6,240.6 "
83,2020,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,380 ",
84,2020,March,Justice Institutions and Immigration Facilities,Total,"1,380 ",
85,2020,March,Unincorporated Vic, Unincorporated Vic,110 ,
86,2020,March,Unincorporated Vic,Total,110 ,
87,2019,March,1 North West Metro, Banyule,"7,014 ","5,328.5 "
88,2019,March,1 North West Metro, Brimbank,"14,673 ","7,003.0 "
89,2019,March,1 North West Metro, Darebin,"11,248 ","6,850.9 "
90,2019,March,1 North West Metro, Hobsons Bay,"4,849 ","4,960.6 "
