,postcode,Postal_Town,population,active,cases,rate,data_date
1530,3550,STRATHDALE,40341.0,0,33,0.0,30/09/2020
1531,3550,Nth Bendigo,40341.0,0,33,0.0,30/09/2020
1532,3550,Strathdale,40341.0,0,33,0.0,30/09/2020
1533,3550,BENDIGO,40341.0,0,33,0.0,30/09/2020
1534,3550,BENDIGO,40341.0,0,33,0.0,30/09/2020
1535,3550,QUARRY HILL,40341.0,0,33,0.0,30/09/2020
1536,3550,WHITE HILLS,40341.0,0,33,0.0,30/09/2020
1537,3550,KENNINGTON,40341.0,0,33,0.0,30/09/2020
1538,3550,BENDIGO NORTH,40341.0,0,33,0.0,30/09/2020
1539,3550,BENDIGO,40341.0,0,33,0.0,30/09/2020
1540,3550,BENDIGO,40341.0,0,33,0.0,30/09/2020
1541,3550,STRATHDALE,40341.0,0,33,0.0,30/09/2020
1542,3550,BENDIGO,40341.0,0,33,0.0,30/09/2020
1543,3551,HUNTLY,29564.0,0,19,0.0,30/09/2020
1544,3551,LOCKWOOD SOUTH,29564.0,0,19,0.0,30/09/2020
1545,3551,LOCKWOOD,29564.0,0,19,0.0,30/09/2020
1546,3551,AXEDALE,29564.0,0,19,0.0,30/09/2020
1547,3551,TARNAGULLA,29564.0,0,19,0.0,30/09/2020
1548,3551,STRATHFIELDSAYE,29564.0,0,19,0.0,30/09/2020
1549,3551,MAIDEN GULLY,29564.0,0,19,0.0,30/09/2020
1550,3551,"AXE CREEK, via Strathfieldsaye",29564.0,0,19,0.0,30/09/2020
1551,3551,EPSOM,29564.0,0,19,0.0,30/09/2020
1552,3551,STRATHFIELDSAYE,29564.0,0,19,0.0,30/09/2020
1553,3551,MAIDEN GULLY,29564.0,0,19,0.0,30/09/2020
1554,3555,KANGAROO FLAT,19688.0,0,31,0.0,30/09/2020
1555,3555,GOLDEN SQUARE,19688.0,0,31,0.0,30/09/2020
1556,3555,Big Hill,19688.0,0,31,0.0,30/09/2020
1557,3555,KANGAROO FLAT,19688.0,0,31,0.0,30/09/2020
1558,3555,Golden Square,19688.0,0,31,0.0,30/09/2020
1559,3555,KANGAROO FLAT,19688.0,0,31,0.0,30/09/2020
1560,3555,KANGAROO FLAT,19688.0,0,31,0.0,30/09/2020
1561,3556,CALIFORNIA GULLY,13087.0,0,3,0.0,30/09/2020
1562,3556,EAGLEHAWK,13087.0,0,3,0.0,30/09/2020
1563,3556,EAGLEHAWK,13087.0,0,3,0.0,30/09/2020
1564,3556,EAGLEHAWK,13087.0,0,3,0.0,30/09/2020
1565,3556,EAGLEHAWK,13087.0,0,3,0.0,30/09/2020
1566,3557,GOORNONG,785.0,0,0,0.0,30/09/2020
1567,3558,ELMORE,916.0,0,0,0.0,30/09/2020
1568,3558,ELMORE,916.0,0,0,0.0,30/09/2020
1569,3559,COLBINABBIN,545.0,0,0,0.0,30/09/2020
