,date_sold,price,suburb,city_name,state,lat,lon,bedrooms,property_type,loc_pid,lga_pid,Postcode
45706,2/1/2020,780000,Rowville,Melbourne,VIC,-37.935166,145.246339,3,house,VIC2209,VIC128,3178
45707,2/1/2020,1675000,Sorrento,Melbourne,VIC,-38.352699,144.752381,4,house,VIC2311,VIC125,3943
45708,2/1/2020,492000,Southbank,Melbourne,VIC,-37.82708412,144.9575638,1,unit,VIC2319,VIC107,3006
45709,2/1/2020,540000,Southbank,Melbourne,VIC,-37.82515858,144.9627015,2,unit,VIC2319,VIC107,3006
45710,2/1/2020,675000,Keysborough,Melbourne,VIC,-38.0023813,145.1645333,3,townhouse,VIC1334,VIC91,3173
45711,2/1/2020,605000,Sunbury,Melbourne,VIC,-37.58028349,144.7179171,4,house,VIC2394,VIC96,3429
45712,2/1/2020,715000,Mitcham,Melbourne,VIC,-37.81388669,145.2131696,2,townhouse,VIC1700,VIC136,3132
45713,2/1/2020,450000,Beaumaris,Melbourne,VIC,-37.99465253,145.0339478,1,house,VIC182,VIC116,3193
45714,2/1/2020,675000,Doreen,Melbourne,VIC,-37.60423485,145.1110119,4,house,VIC774,VIC114,3754
45715,2/1/2020,1320000,Yarrambat,Melbourne,VIC,-37.622742,145.14397,4,house,VIC2917,VIC106,3091
45716,2/1/2020,1855000,Harkaway,Melbourne,VIC,-37.99537593,145.3482512,4,house,VIC1131,VIC127,3806
45717,2/1/2020,760000,Reservoir,Melbourne,VIC,-37.7093958,144.9948253,3,house,VIC2158,VIC170,3073
45718,2/1/2020,525000,Rosebud,Melbourne,VIC,-38.380883,144.912534,3,townhouse,VIC2199,VIC125,3939
45719,2/1/2020,940000,Clayton,Melbourne,VIC,-37.92596918,145.1175344,4,townhouse,VIC567,VIC104,3168
45720,2/1/2020,485000,Melbourne,Melbourne,VIC,-37.81713736,144.960121,1,unit,VIC1634,VIC107,3000
45721,2/1/2020,485000,Melbourne,Melbourne,VIC,-37.81713736,144.960121,1,unit,VIC1634,VIC107,3004
45722,2/1/2020,342500,Flemington,Melbourne,VIC,-37.781737,144.929835,1,unit,VIC921,VIC121,3031
45723,2/1/2020,446500,Melbourne,Melbourne,VIC,-37.8094278,144.9618335,1,unit,VIC1634,VIC107,3000
45724,2/1/2020,594000,Croydon,Melbourne,VIC,-37.80311179,145.3004793,2,unit,VIC680,VIC139,3136
45725,2/1/2020,476000,Frankston,Melbourne,VIC,-38.14513962,145.1222424,4,house,VIC939,VIC88,3199
45726,2/1/2020,1188000,Nunawading,Melbourne,VIC,-37.82786668,145.1772469,4,house,VIC1981,VIC136,3131
45727,2/1/2020,745000,Eltham,Melbourne,VIC,-37.706651,145.155218,3,house,VIC858,VIC106,3095
45728,2/1/2020,790000,Reservoir,Melbourne,VIC,-37.707134,145.001856,3,house,VIC2158,VIC170,3073
45729,2/1/2020,515000,Hallam,Melbourne,VIC,-38.00391774,145.2750552,3,townhouse,VIC1117,VIC127,3803
45730,2/1/2020,599000,Wollert,Melbourne,VIC,-37.60746792,145.0192843,4,house,VIC2821,VIC114,3750
45731,2/1/2020,725000,Officer,Melbourne,VIC,-38.08619691,145.4253757,4,house,VIC2002,VIC161,3809
45732,2/1/2020,530000,Whittlesea,Melbourne,VIC,-37.51054556,145.1158941,3,house,VIC2778,VIC114,3757
45733,2/1/2020,740000,Hillside,Melbourne,VIC,-37.6838281,144.7412915,3,house,VIC2984,VIC176,3037
45734,2/1/2020,700000,Wollert,Melbourne,VIC,-37.60746792,145.0192843,5,house,VIC2821,VIC114,3750
45735,2/1/2020,705000,Croydon,Melbourne,VIC,-37.784378,145.273313,3,townhouse,VIC680,VIC139,3136
45736,2/1/2020,269999,Bundoora,Melbourne,VIC,-37.712991,145.048287,1,unit,VIC399,VIC114,3083
45737,2/1/2020,520000,Doveton,Melbourne,VIC,-37.986078,145.243021,3,house,VIC778,VIC127,3177
45738,2/1/2020,630000,Dandenong,Melbourne,VIC,-37.985579,145.227138,3,house,VIC705,VIC91,3175
45739,2/1/2020,600000,Mernda,Melbourne,VIC,-37.59868826,145.0716704,5,house,VIC1653,VIC114,3754
45740,2/1/2020,400000,Cranbourne,Melbourne,VIC,-38.1100713,145.2673847,3,unit,VIC661,VIC127,3977
45741,2/1/2020,2510000,Kew,Melbourne,VIC,-37.8043734,145.0295139,4,house,VIC1331,VIC167,3101
45742,2/1/2020,625000,Dromana,Melbourne,VIC,-38.332724,144.977043,3,townhouse,VIC783,VIC125,3936
45743,2/1/2020,495000,Werribee,Melbourne,VIC,-37.906462,144.684478,3,house,VIC2753,VIC95,3030
45744,2/1/2020,446500,Melbourne,Melbourne,VIC,-37.8094278,144.9618335,1,unit,VIC1634,VIC107,3004
45745,2/1/2020,890000,Mornington,Melbourne,VIC,-38.232934,145.038054,3,house,VIC1757,VIC125,3931
45746,2/1/2020,951000,Bundoora,Melbourne,VIC,-37.707504,145.053617,4,house,VIC399,VIC114,3083
45747,2/1/2020,805000,Rye,Melbourne,VIC,-38.371959,144.82612,3,house,VIC2222,VIC125,3941
45748,2/1/2020,530000,Rye,Melbourne,VIC,-38.373773,144.795413,3,house,VIC2222,VIC125,3941
45749,2/1/2020,985000,Wantirna,Melbourne,VIC,-37.85966638,145.2194866,5,house,VIC2688,VIC128,3152
45750,2/1/2020,525000,Hastings,Melbourne,VIC,-38.301309,145.176365,3,house,VIC1136,VIC125,3915
45751,2/1/2020,830000,Bundoora,Melbourne,VIC,-37.707444,145.06858,3,house,VIC399,VIC114,3083
45752,2/1/2020,749000,Seaford,Melbourne,VIC,-38.11113286,145.1371869,3,house,VIC2253,VIC88,3198
45753,2/1/2020,600000,Thomastown,Melbourne,VIC,-37.682447,144.996917,3,house,VIC2507,VIC114,3074
45754,2/1/2020,790000,Boronia,Melbourne,VIC,-37.856457,145.301799,3,house,VIC304,VIC128,3155
45755,2/1/2020,575000,Craigieburn,Melbourne,VIC,-37.607788,144.930977,4,house,VIC660,VIC96,3064
45756,2/1/2020,320000,Melton,Melbourne,VIC,-37.69088862,144.5882084,2,house,VIC1636,VIC176,3337
45757,2/1/2020,620000,Kew,Melbourne,VIC,-37.809012,145.011834,2,unit,VIC1331,VIC167,3101
