,index,month_sold,lga_pid,suburb,price
128,128,02,VIC139,Croydon,410000.0
129,129,02,VIC139,Ringwood,618780.0
130,130,02,VIC139,Ringwood,420000.0
131,131,02,VIC141,Templestowe,1398000.0
132,132,02,VIC141,Templestowe,3580000.0
133,133,02,VIC161,Officer,450000.0
134,134,02,VIC161,Pakenham,670000.0
135,135,02,VIC161,Gembrook,902750.0
136,136,02,VIC167,Hawthorn,390000.0
137,137,02,VIC167,Hawthorn,1550000.0
138,138,02,VIC168,Cairnlea,910000.0
139,139,02,VIC168,Derrimut,740000.0
140,140,02,VIC168,Derrimut,813000.0
141,141,02,VIC170,Reservoir,755000.0
142,142,02,VIC170,Northcote,710000.0
143,143,02,VIC170,Preston,575000.0
144,144,02,VIC176,Melton,535000.0
145,145,02,VIC176,Truganina,700000.0
146,146,02,VIC176,Truganina,575000.0
147,147,02,VIC88,Langwarrin,470000.0
148,148,02,VIC88,Langwarrin,456000.0
149,149,02,VIC89,Elsternwick,608000.0
150,150,02,VIC91,Keysborough,695000.0
151,151,02,VIC95,Werribee,440000.0
152,152,02,VIC95,Werribee,574900.0
153,153,02,VIC95,Tarneit,425000.0
154,154,02,VIC95,Tarneit,597000.0
155,155,02,VIC95,Tarneit,350000.0
156,156,02,VIC96,Sunbury,525000.0
157,157,02,VIC96,Mickleham,565000.0
158,158,02,VIC96,Craigieburn,600000.0
159,159,02,VIC96,Broadmeadows,440000.0
160,160,02,VIC96,Craigieburn,7573100.0
161,161,02,VIC97,Altona,1030000.0
162,162,02,VIC97,Altona,541000.0
163,163,02,VIC98,Highett,470000.0
164,164,02,VIC98,Cheltenham,943000.0
165,165,02,VIC98,Edithvale,635000.0
166,166,02,VIC98,Parkdale,754000.0
167,167,02,VIC98,Moorabbin,1256500.0
168,168,02,VIC98,Moorabbin,522500.0
169,169,02,VIC106,Hurstbridge,740000.0
170,170,02,VIC107,Melbourne,446000.0
171,171,02,VIC107,Melbourne,446000.0
172,172,02,VIC107,Melbourne,1219998.0
173,173,02,VIC107,Melbourne,1219998.0
174,174,02,VIC107,Melbourne,465000.0
175,175,02,VIC107,Melbourne,465000.0
176,176,02,VIC107,Southbank,730000.0
177,177,02,VIC107,Southbank,575000.0
178,178,02,VIC109,Toorak,749500.0
179,179,02,VIC114,Doreen,718000.0
180,180,02,VIC114,Doreen,785000.0
181,181,02,VIC114,Doreen,531250.0
182,182,02,VIC114,Wollert,500000.0
183,183,02,VIC115,Abbotsford,725000.0
184,184,02,VIC115,Richmond,509000.0
185,185,02,VIC125,Mornington,1365000.0
186,186,02,VIC125,Mornington,820000.0
187,187,02,VIC125,Rosebud,535000.0
188,188,02,VIC125,Hastings,600000.0
189,189,02,VIC125,Mornington,815000.0
190,190,02,VIC125,Mornington,1295000.0
191,191,02,VIC125,Rosebud,589900.0
192,192,02,VIC125,Mornington,520000.0
193,193,02,VIC127,Berwick,985000.0
194,194,02,VIC127,Clyde,594900.0
195,195,02,VIC127,Berwick,610000.0
196,196,02,VIC127,Berwick,563000.0
197,197,02,VIC127,Cranbourne,490000.0
198,198,02,VIC128,Rowville,652500.0
199,199,02,VIC129,Lysterfield,1193000.0
200,200,02,VIC129,Coldstream,645000.0
201,201,02,VIC129,Monbulk,647000.0
202,202,02,VIC129,Kilsyth,595000.0
203,203,02,VIC129,Upwey,795000.0
204,204,02,VIC129,Mooroolbark,661000.0
205,205,02,VIC129,Montrose,1490000.0
206,206,02,VIC131,Coburg,692288.0
207,207,02,VIC132,Parkville,460000.0
208,208,02,VIC136,Blackburn,1122500.0
209,209,02,VIC139,Croydon,700000.0
210,210,02,VIC139,Ringwood,508000.0
211,211,02,VIC141,Bulleen,1265000.0
212,212,02,VIC161,Officer,555000.0
213,213,02,VIC161,Officer,389000.0
214,214,02,VIC161,Pakenham,496000.0
215,215,02,VIC161,Pakenham,470000.0
216,216,02,VIC161,Pakenham,642000.0
217,217,02,VIC161,Pakenham,612500.0
218,218,02,VIC165,Montmorency,1400000.0
219,219,02,VIC167,Hawthorn,672500.0
220,220,02,VIC170,Thornbury,1590000.0
221,221,02,VIC170,Reservoir,590000.0
222,222,02,VIC170,Macleod,967000.0
223,223,02,VIC170,Reservoir,399000.0
224,224,02,VIC170,Alphington,901000.0
225,225,02,VIC176,Truganina,435001.0
226,226,02,VIC176,Truganina,470000.0
227,227,02,VIC176,Truganina,687500.0
228,228,02,VIC176,Truganina,530000.0
229,229,02,VIC176,Truganina,578000.0
230,230,02,VIC88,Seaford,570000.0
231,231,02,VIC88,Langwarrin,700000.0
232,232,02,VIC88,Seaford,712500.0
233,233,02,VIC88,Frankston,610000.0
234,234,02,VIC89,Carnegie,445000.0
235,235,02,VIC89,Bentleigh,511000.0
236,236,02,VIC91,Dandenong,265000.0
237,237,02,VIC91,Keysborough,710000.0
238,238,02,VIC91,Springvale,670000.0
239,239,02,VIC95,Werribee,467300.0
240,240,02,VIC95,Werribee,490000.0
241,241,02,VIC95,Werribee,522000.0
242,242,02,VIC95,Tarneit,465000.0
243,243,02,VIC95,Werribee,448000.0
244,244,02,VIC95,Tarneit,510000.0
245,245,02,VIC95,Werribee,431000.0
246,246,02,VIC95,Tarneit,522500.0
247,247,02,VIC96,Sunbury,810000.0
248,248,02,VIC96,Sunbury,502000.0
249,249,02,VIC96,Sunbury,930000.0
250,250,02,VIC96,Craigieburn,532000.0
251,251,02,VIC96,Sunbury,640000.0
252,252,02,VIC96,Sunbury,640000.0
253,253,02,VIC96,Sunbury,690000.0
254,254,02,VIC96,Craigieburn,425000.0
255,255,02,VIC96,Craigieburn,375000.0
256,256,02,VIC96,Craigieburn,309900.0
257,257,02,VIC98,Mordialloc,1435000.0
258,258,02,VIC98,Aspendale,1740000.0
259,259,02,VIC98,Bonbeach,940000.0
260,260,02,VIC98,Bonbeach,831600.0
261,261,02,VIC98,Bonbeach,918000.0
262,262,02,VIC101,Footscray,306000.0
263,263,02,VIC101,Footscray,491500.0
264,264,02,VIC107,Melbourne,320000.0
265,265,02,VIC107,Melbourne,320000.0
266,266,02,VIC107,Melbourne,383000.0
267,267,02,VIC107,Melbourne,383000.0
268,268,02,VIC107,Southbank,350000.0
269,269,02,VIC107,Melbourne,1300000.0
270,270,02,VIC107,Melbourne,750000.0
271,271,02,VIC107,Melbourne,750000.0
272,272,02,VIC107,Melbourne,1300000.0
273,273,02,VIC107,Melbourne,227000.0
274,274,02,VIC107,Melbourne,227000.0
275,275,02,VIC107,Melbourne,520000.0
276,276,02,VIC107,Melbourne,520000.0
277,277,02,VIC114,Wollert,505000.0
278,278,02,VIC114,Whittlesea,545000.0
279,279,02,VIC114,Doreen,581000.0
280,280,02,VIC115,Abbotsford,310000.0
281,281,02,VIC115,Collingwood,1150000.0
282,282,02,VIC125,Mornington,661500.0
283,283,02,VIC125,Rosebud,440000.0
284,284,02,VIC125,Rosebud,750000.0
285,285,02,VIC125,Mornington,600000.0
286,286,02,VIC127,Clyde,462500.0
287,287,02,VIC127,Berwick,680000.0
288,288,02,VIC127,Berwick,645000.0
289,289,02,VIC128,Rowville,680000.0
290,290,02,VIC128,Bayswater,755000.0
291,291,02,VIC128,Wantirna,740500.0
292,292,02,VIC128,Boronia,715000.0
293,293,02,VIC129,Olinda,1085000.0
294,294,02,VIC129,Mooroolbark,601503.0
295,295,02,VIC129,Mooroolbark,721000.0
296,296,02,VIC129,Coldstream,675000.0
297,297,02,VIC131,Glenroy,420000.0
298,298,02,VIC131,Coburg,520000.0
299,299,02,VIC131,Coburg,470000.0
300,300,02,VIC131,Brunswick,800000.0
301,301,02,VIC131,Coburg,790000.0
302,302,02,VIC136,Burwood,1178000.0
303,303,02,VIC139,Croydon,645000.0
304,304,02,VIC139,Ringwood,375000.0
305,305,02,VIC161,Pakenham,390000.0
306,306,02,VIC161,Officer,715000.0
307,307,02,VIC161,Pakenham,520500.0
308,308,02,VIC161,Pakenham,800000.0
309,309,02,VIC161,Pakenham,410000.0
310,310,02,VIC161,Pakenham,580000.0
311,311,02,VIC167,Kew,2300000.0
312,312,02,VIC167,Kew,1710000.0
313,313,02,VIC167,Camberwell,1330000.0
314,314,02,VIC176,Truganina,385500.0
315,315,02,VIC176,Truganina,382650.0
316,316,02,VIC88,Seaford,468500.0
317,317,02,VIC88,Langwarrin,615000.0
318,318,02,VIC88,Frankston,410000.0
319,319,02,VIC95,Tarneit,505000.0
320,320,02,VIC95,Werribee,360000.0
321,321,02,VIC96,Sunbury,532500.0
322,322,02,VIC96,Mickleham,630000.0
323,323,02,VIC96,Mickleham,610000.0
324,324,02,VIC97,Newport,855000.0
325,325,02,VIC97,Williamstown,1785000.0
326,326,02,VIC98,Edithvale,980000.0
327,327,02,VIC98,Highett,1420000.0
328,328,02,VIC98,Chelsea,865000.0
329,329,02,VIC101,Yarraville,820000.0
330,330,02,VIC101,Yarraville,1369000.0
331,331,02,VIC101,Kingsville,767000.0
332,332,02,VIC107,Elwood,606800.0
333,333,02,VIC107,Melbourne,340000.0
334,334,02,VIC107,Melbourne,340000.0
335,335,02,VIC107,Southbank,2550000.0
336,336,02,VIC109,Armadale,2050000.0
337,337,02,VIC114,Bundoora,630000.0
338,338,02,VIC114,Doreen,720250.0
339,339,02,VIC114,Epping,575500.0
340,340,02,VIC114,Wollert,635000.0
341,341,02,VIC114,Wollert,455000.0
342,342,02,VIC114,Wollert,540500.0
343,343,02,VIC125,Hastings,590000.0
344,344,02,VIC125,Rosebud,675000.0
345,345,02,VIC125,Mornington,735000.0
346,346,02,VIC125,Mornington,775000.0
347,347,02,VIC127,Clyde,597000.0
348,348,02,VIC127,Berwick,590000.0
349,349,02,VIC127,Berwick,1030000.0
350,350,02,VIC127,Hallam,600000.0
351,351,02,VIC128,Rowville,1055000.0
352,352,02,VIC128,Rowville,1100000.0
353,353,02,VIC128,Wantirna,610000.0
354,354,02,VIC128,Bayswater,775000.0
355,355,02,VIC128,Scoresby,785000.0
356,356,02,VIC128,Rowville,700000.0
357,357,02,VIC128,Knoxfield,685000.0
358,358,02,VIC129,Lilydale,715000.0
359,359,02,VIC129,Mooroolbark,610000.0
360,360,02,VIC129,Mooroolbark,860000.0
361,361,02,VIC129,Warburton,530000.0
362,362,02,VIC129,Kilsyth,840000.0
363,363,02,VIC129,Mooroolbark,700000.0
364,364,02,VIC131,Hadfield,580000.0
365,365,02,VIC131,Brunswick,685000.0
366,366,02,VIC131,Brunswick,660000.0
367,367,02,VIC131,Glenroy,550000.0
368,368,02,VIC139,Ringwood,716500.0
369,369,02,VIC139,Croydon,695000.0
370,370,02,VIC141,Bulleen,1003000.0
371,371,02,VIC141,Warrandyte,905000.0
372,372,02,VIC161,Pakenham,692500.0
373,373,02,VIC161,Pakenham,550000.0
374,374,02,VIC161,Pakenham,465000.0
375,375,02,VIC161,Pakenham,460000.0
376,376,02,VIC165,Rosanna,970500.0
377,377,02,VIC167,Camberwell,608000.0
378,378,02,VIC167,Kew,2580000.0
379,379,02,VIC168,Albion,318000.0
380,380,02,VIC168,Sunshine,268000.0
381,381,02,VIC170,Northcote,412000.0
382,382,02,VIC170,Reservoir,790000.0
383,383,02,VIC170,Thornbury,610000.0
384,384,02,VIC176,Hillside,1000000.0
385,385,02,VIC176,Truganina,481000.0
386,386,02,VIC176,Melton,420000.0
387,387,02,VIC176,Truganina,570000.0
388,388,02,VIC176,Truganina,388000.0
389,389,02,VIC88,Frankston,342000.0
390,390,02,VIC91,Keysborough,565000.0
391,391,02,VIC91,Dandenong,600000.0
392,392,02,VIC91,Dandenong,411000.0
393,393,02,VIC91,Keysborough,600000.0
394,394,02,VIC95,Tarneit,775000.0
395,395,02,VIC95,Tarneit,820000.0
396,396,02,VIC95,Werribee,513000.0
397,397,02,VIC95,Werribee,552000.0
398,398,02,VIC95,Tarneit,660000.0
399,399,02,VIC95,Werribee,480000.0
400,400,02,VIC95,Werribee,312000.0
401,401,02,VIC95,Tarneit,510000.0
402,402,02,VIC95,Tarneit,610000.0
403,403,02,VIC96,Broadmeadows,582777.0
404,404,02,VIC96,Sunbury,585000.0
405,405,02,VIC96,Sunbury,500000.0
406,406,02,VIC96,Sunbury,575000.0
407,407,02,VIC96,Sunbury,830000.0
408,408,02,VIC97,Seabrook,775000.0
409,409,02,VIC97,Newport,940000.0
410,410,02,VIC97,Altona,715000.0
411,411,02,VIC97,Williamstown,550000.0
412,412,02,VIC98,Edithvale,1125000.0
413,413,02,VIC98,Mordialloc,1225000.0
414,414,02,VIC98,Parkdale,1857500.0
415,415,02,VIC101,Footscray,1060000.0
416,416,02,VIC101,Braybrook,680000.0
417,417,02,VIC104,Clayton,1110000.0
418,418,02,VIC107,Melbourne,556000.0
419,419,02,VIC107,Melbourne,556000.0
420,420,02,VIC109,Armadale,2100000.0
421,421,02,VIC114,Wollert,520000.0
422,422,02,VIC114,Wollert,572000.0
423,423,02,VIC114,Epping,941250.0
424,424,02,VIC114,Mernda,600000.0
425,425,02,VIC114,Epping,553000.0
426,426,02,VIC114,Epping,1267000.0
427,427,02,VIC115,Richmond,394000.0
428,428,02,VIC116,Hampton,1970000.0
429,429,02,VIC116,Sandringham,537000.0
430,430,02,VIC116,Sandringham,400000.0
431,431,02,VIC116,Sandringham,630000.0
432,432,02,VIC125,Somers,675000.0
433,433,02,VIC125,Balnarring,1000000.0
434,434,02,VIC125,Rye,545000.0
435,435,02,VIC125,Rye,580000.0
436,436,02,VIC125,Dromana,537000.0
437,437,02,VIC125,Dromana,660000.0
438,438,02,VIC125,Mornington,1250000.0
439,439,02,VIC125,Tyabb,690000.0
440,440,02,VIC125,Hastings,447500.0
441,441,02,VIC127,Cranbourne,520000.0
442,442,02,VIC127,Clyde,550000.0
443,443,02,VIC127,Berwick,730000.0
444,444,02,VIC127,Berwick,507000.0
445,445,02,VIC127,Clyde,595500.0
446,446,02,VIC127,Lyndhurst,845000.0
447,447,02,VIC128,Knoxfield,850000.0
448,448,02,VIC128,Boronia,948000.0
449,449,02,VIC128,Bayswater,687200.0
450,450,02,VIC129,Emerald,740000.0
451,451,02,VIC129,Healesville,375000.0
452,452,02,VIC129,Lilydale,710000.0
453,453,02,VIC129,Olinda,700000.0
454,454,02,VIC131,Coburg,986600.0
455,455,02,VIC131,Coburg,1015000.0
456,456,02,VIC131,Coburg,485000.0
457,457,02,VIC131,Glenroy,657724.0
458,458,02,VIC132,Kensington,580500.0
459,459,02,VIC139,Ringwood,870000.0
460,460,02,VIC139,Warranwood,1070000.0
461,461,02,VIC139,Croydon,990000.0
462,462,02,VIC141,Doncaster,355000.0
463,463,02,VIC141,Doncaster,600000.0
464,464,02,VIC161,Officer,565000.0
465,465,02,VIC161,Pakenham,472500.0
466,466,02,VIC161,Pakenham,535000.0
467,467,02,VIC161,Pakenham,575000.0
468,468,02,VIC161,Pakenham,405000.0
469,469,02,VIC161,Pakenham,585000.0
470,470,02,VIC161,Pakenham,393000.0
471,471,02,VIC165,Ivanhoe,988000.0
472,472,02,VIC167,Camberwell,460000.0
473,473,02,VIC168,Keilor,1150000.0
474,474,02,VIC170,Reservoir,695550.0
475,475,02,VIC176,Truganina,635000.0
476,476,02,VIC176,Truganina,580000.0
477,477,02,VIC176,Hillside,575000.0
478,478,02,VIC88,Frankston,555000.0
479,479,02,VIC88,Seaford,540000.0
480,480,02,VIC88,Seaford,666000.0
481,481,02,VIC88,Seaford,550000.0
482,482,02,VIC88,Seaford,586500.0
483,483,02,VIC91,Dandenong,430000.0
484,484,02,VIC95,Tarneit,543000.0
485,485,02,VIC95,Tarneit,660000.0
486,486,02,VIC95,Werribee,520000.0
487,487,02,VIC96,Mickleham,454000.0
488,488,02,VIC96,Greenvale,525000.0
489,489,02,VIC96,Sunbury,550000.0
490,490,02,VIC96,Mickleham,465000.0
491,491,02,VIC96,Westmeadows,570000.0
492,492,02,VIC96,Sunbury,580000.0
493,493,02,VIC96,Campbellfield,550000.0
494,494,02,VIC96,Sunbury,480000.0
495,495,02,VIC96,Sunbury,580000.0
496,496,02,VIC97,Altona,1138000.0
497,497,02,VIC97,Williamstown,1096000.0
498,498,02,VIC97,Williamstown,685000.0
499,499,02,VIC98,Aspendale,1491000.0
500,500,02,VIC98,Aspendale,944000.0
501,501,02,VIC101,Footscray,1305000.0
502,502,02,VIC101,Braybrook,1100000.0
503,503,02,VIC104,Ashwood,752000.0
504,504,02,VIC104,Hughesdale,661000.0
505,505,02,VIC104,Mulgrave,811000.0
506,506,02,VIC104,Mulgrave,871000.0
507,507,02,VIC104,Clayton,1121000.0
508,508,02,VIC106,Eltham,721000.0
509,509,02,VIC106,Eltham,810000.0
510,510,02,VIC106,Greensborough,670000.0
511,511,02,VIC107,Melbourne,505000.0
512,512,02,VIC107,Melbourne,505000.0
513,513,02,VIC107,Melbourne,780000.0
514,514,02,VIC107,Melbourne,905000.0
515,515,02,VIC107,Melbourne,780000.0
516,516,02,VIC107,Melbourne,905000.0
517,517,02,VIC107,Southbank,836000.0
518,518,02,VIC109,Malvern,600000.0
519,519,02,VIC114,Epping,540500.0
520,520,02,VIC114,Bundoora,655000.0
521,521,02,VIC114,Whittlesea,592000.0
522,522,02,VIC114,Bundoora,315000.0
523,523,02,VIC114,Bundoora,325000.0
524,524,02,VIC114,Wollert,297500.0
525,525,02,VIC114,Bundoora,405000.0
526,526,02,VIC114,Doreen,576000.0
527,527,02,VIC114,Doreen,930000.0
528,528,02,VIC114,Thomastown,676000.0
529,529,02,VIC114,Wollert,685000.0
530,530,02,VIC115,Richmond,1790000.0
531,531,02,VIC115,Fitzroy,1404000.0
532,532,02,VIC115,Richmond,602000.0
533,533,02,VIC115,Collingwood,1140000.0
534,534,02,VIC116,Brighton,1545000.0
535,535,02,VIC116,Hampton,1595000.0
536,536,02,VIC116,Brighton,1828000.0
537,537,02,VIC121,Niddrie,845000.0
538,538,02,VIC125,Mornington,815000.0
539,539,02,VIC125,Mornington,700000.0
540,540,02,VIC125,Mornington,876500.0
541,541,02,VIC125,Rosebud,790000.0
542,542,02,VIC125,Tyabb,617500.0
543,543,02,VIC125,Rosebud,460000.0
544,544,02,VIC127,Hallam,590000.0
545,545,02,VIC128,Boronia,855000.0
546,546,02,VIC128,Wantirna,1075000.0
547,547,02,VIC128,Boronia,690000.0
548,548,02,VIC128,Boronia,702500.0
549,549,02,VIC128,Boronia,735000.0
550,550,02,VIC128,Knoxfield,911000.0
551,551,02,VIC128,Knoxfield,780000.0
552,552,02,VIC128,Boronia,761000.0
553,553,02,VIC128,Rowville,894000.0
554,554,02,VIC128,Rowville,855000.0
555,555,02,VIC129,Lysterfield,700000.0
556,556,02,VIC129,Coldstream,656000.0
557,557,02,VIC129,Mooroolbark,825000.0
558,558,02,VIC129,Mooroolbark,750000.0
559,559,02,VIC131,Brunswick,1350000.0
560,560,02,VIC131,Coburg,1267000.0
561,561,02,VIC131,Glenroy,630000.0
562,562,02,VIC131,Glenroy,324000.0
563,563,02,VIC131,Fawkner,680500.0
564,564,02,VIC131,Hadfield,760000.0
565,565,02,VIC132,Kensington,485000.0
566,566,02,VIC132,Parkville,1005000.0
567,567,02,VIC132,Carlton,1140500.0
568,568,02,VIC136,Nunawading,993000.0
569,569,02,VIC136,Blackburn,1145000.0
570,570,02,VIC136,Vermont,880000.0
571,571,02,VIC136,Blackburn,1439500.0
572,572,02,VIC136,Burwood,1755000.0
573,573,02,VIC136,Mitcham,1290000.0
574,574,02,VIC136,Mitcham,1665000.0
575,575,02,VIC136,Nunawading,1051000.0
576,576,02,VIC136,Nunawading,1316000.0
577,577,02,VIC136,Mitcham,891000.0
578,578,02,VIC139,Heathmont,742500.0
579,579,02,VIC139,Croydon,727000.0
580,580,02,VIC139,Ringwood,928000.0
581,581,02,VIC141,Doncaster,810100.0
582,582,02,VIC161,Pakenham,470000.0
583,583,02,VIC161,Pakenham,606000.0
584,584,02,VIC165,Watsonia,912000.0
585,585,02,VIC165,Montmorency,945000.0
586,586,02,VIC165,Ivanhoe,1255000.0
587,587,02,VIC167,Canterbury,1407000.0
588,588,02,VIC167,Hawthorn,460000.0
589,589,02,VIC167,Hawthorn,145000.0
590,590,02,VIC168,Tullamarine,620000.0
591,591,02,VIC170,Fairfield,627000.0
592,592,02,VIC170,Northcote,1106250.0
593,593,02,VIC170,Preston,945000.0
594,594,02,VIC170,Reservoir,600000.0
595,595,02,VIC170,Northcote,985000.0
596,596,02,VIC170,Reservoir,862500.0
597,597,02,VIC170,Reservoir,565000.0
598,598,02,VIC170,Reservoir,721000.0
599,599,02,VIC170,Northcote,1265000.0
600,600,02,VIC170,Northcote,1430000.0
601,601,02,VIC170,Reservoir,829000.0
602,602,02,VIC176,Hillside,642000.0
603,603,02,VIC176,Hillside,842000.0
604,604,02,VIC176,Hillside,645000.0
605,605,02,VIC176,Hillside,720000.0
606,606,02,VIC176,Truganina,580000.0
607,607,02,VIC88,Seaford,437500.0
608,608,02,VIC88,Seaford,601000.0
609,609,02,VIC88,Frankston,679000.0
610,610,02,VIC88,Frankston,738000.0
611,611,02,VIC88,Frankston,715000.0
612,612,02,VIC89,Murrumbeena,1650000.0
613,613,02,VIC91,Keysborough,705000.0
614,614,02,VIC91,Keysborough,785491.0
615,615,02,VIC91,Dandenong,662000.0
616,616,02,VIC96,Westmeadows,585000.0
617,617,02,VIC96,Craigieburn,358000.0
618,618,02,VIC96,Craigieburn,481500.0
619,619,02,VIC96,Craigieburn,592000.0
620,620,02,VIC96,Craigieburn,407500.0
621,621,02,VIC96,Greenvale,730000.0
622,622,02,VIC96,Greenvale,945000.0
623,623,02,VIC96,Greenvale,602750.0
624,624,02,VIC96,Craigieburn,633200.0
625,625,02,VIC96,Mickleham,590000.0
626,626,02,VIC97,Newport,705000.0
627,627,02,VIC98,Parkdale,2175000.0
628,628,02,VIC98,Cheltenham,840000.0
629,629,02,VIC98,Mentone,987000.0
630,630,02,VIC98,Aspendale,779000.0
631,631,02,VIC98,Cheltenham,781000.0
632,632,02,VIC101,Footscray,286000.0
633,633,02,VIC114,Epping,627429.0
634,634,02,VIC114,Wollert,558579.0
635,635,02,VIC121,Essendon,878000.0
636,636,02,VIC125,Sorrento,1520000.0
637,637,02,VIC125,Rye,700500.0
638,638,02,VIC125,Rye,710000.0
