Suburb,Postcode,LGA_ID,LGA_Name
Gordon,3345,515,Moorabool
Hepburn,3461,291,Hepburn
Lara Lake,3212,275,Greater
Rosedale,3847,681,Wellington
Rochester,3561,137,Campaspe
Ararat,3377,26,Ararat
Jamieson,3723,425,Mansfield
Preston,3072,189,Darebin
Omeo,3898,211,East
Harrietville,3741,11,Alpine
Mordialloc,3195,343,Kingston
Healesville,3777,745,Yarra
Lake Bolac,3351,26,Ararat
Toongabbie,3856,381,Latrobe
Waubra,3352,599,Pyrenees
Great Western,3374,581,Northern
Maffra,3860,681,Wellington
Broken Creek,3673,101,Benalla
Lal Lal,3352,515,Moorabool
Cobden,3266,183,Corangamite
St Leonards,3223,275,Greater
Lilydale,3140,745,Yarra
Bendigo,3552,262,Greater
Darraweit Guim,3756,413,Macedon
Linton,3360,249,Golden
Invermay,3352,57,Ballarat
Mitta Mitta,3701,667,Towong
Camberwell,3124,111,Boroondara
Greenvale,3059,327,Hume
Alexandra,3714,562,Murrindindi
Bannockburn,3331,249,Golden
