Suburb,Postcode,LGA_ID,LGA_Name
Blackburn,3130,698,Whitehorse
Newmerella,3888,211,East
Port Melbourne,3207,590,Port
Hawthorn East,3123,111,Boroondara
Mentone,3194,343,Kingston
Research,3095,571,Nillumbik
Pearcedale,3912,161,Casey
Lindenow South,3875,211,East
Thorpdale,3835,83,Baw
St Albans,3021,118,Brimbank
Leongatha,3953,617,South
Jeparit,3423,298,Hindmarsh
Toorak,3142,635,Stonnington
Baxter,3911,534,Mornington
Fish Creek,3959,617,South
Beaconsfield,3807,145,Cardinia
Metung,3904,211,East
Newhaven,3925,74,Bass
Halls Gap,3381,581,Northern
Tallygaroopna,3634,283,Greater
Bentleigh,3204,231,Glen
Korumburra,3950,617,South
Crib Point,3919,534,Mornington
Pascoe Vale,3044,525,Moreland
Flowerdale,3717,562,Murrindindi
Ocean Grove,3226,275,Greater
Beulah,3395,763,Yarriambiack
Sunshine,3020,118,Brimbank
Tyabb,3913,534,Mornington
Thornbury,3071,189,Darebin
Huon,3695,335,Indigo
Kew East,3102,111,Boroondara
Nichols Point,3501,478,Mildura
Irymple,3498,478,Mildura
Eagle Point,3878,211,East
Yarra Junction,3797,745,Yarra
Sassafras,3787,745,Yarra
Ferny Creek,3786,745,Yarra
Toolangi,3777,562,Murrindindi
Wonga Park,3115,421,Manningham
Kinglake West,3757,562,Murrindindi
Crib Point,3919,939,Unincorporated
Monbulk,3793,745,Yarra
Lake Boga,3584,661,Swan
Chum Creek,3777,745,Yarra
Kalorama,3766,745,Yarra
Nullawil,3529,127,Buloke
Kinglake Central,3757,562,Murrindindi
Point Lonsdale,3225,608,Queenscliffe
Inverloch,3996,617,South
Clarinda,3169,343,Kingston
Chelsea Heights,3196,343,Kingston
Wallington,3222,275,Greater
Tecoma,3160,745,Yarra
Torquay,3228,649,Surf
Noorinbee,3890,211,East
Emerald,3782,145,Cardinia
Seaford,3198,343,Kingston
Nyora,3987,617,South
Exford,3338,465,Melton
Ultima,3544,661,Swan
Mount Waverley,3149,497,Monash
Marlo,3888,211,East
Murrumbeena,3163,231,Glen
Koorlong,3501,478,Mildura
Warranwood,3134,441,Maroondah
Willowmavin,3764,485,Mitchell
Olinda,3788,745,Yarra
Carlisle River,3239,175,Colac-Otway
Strathdale,3550,262,Greater
Mallacoota,3892,211,East
Langwarrin,3910,217,Frankston
Cockatoo,3781,145,Cardinia
Upwey,3158,745,Yarra
Sydenham,3037,118,Brimbank
Canterbury,3126,111,Boroondara
Cabarita,3505,478,Mildura
Traralgon,3844,381,Latrobe
Brunswick West,3055,525,Moreland
Fawkner,3060,525,Moreland
Alphington,3078,735,Yarra
Bona Vista,3820,83,Baw
